연월,방울토마토_true,방울토마토_pred
2019_2,25673.0,21061.951
2019_3,24353.0,23999.133
2019_4,26550.0,25038.018
2019_5,24609.0,21340.395
2019_6,18257.0,17074.238
2019_7,15689.0,10401.413
2019_8,14104.001,11430.452
2019_9,14476.0,9568.561
2019_10,17605.0,21890.26
2019_11,22143.0,17968.709
2019_12,24133.0,24712.93
2020_1,28270.002,20429.865
2020_2,29038.0,17821.105
2020_3,24970.0,20921.486
2020_4,27686.0,18812.2
2020_5,23648.0,24610.676
2020_6,14259.0,19231.85
2020_7,14336.0,15675.536
2020_8,19443.0,13165.297
2020_9,21653.0,21450.596
2020_10,27540.0,26728.615
2020_11,32663.0,24890.615
2020_12,15861.999,23486.107
