검정연도,cluster_id,손해율(true),손해율(pred)
2017,0,0.4734485922014173,1.85833718581134
2017,1,4.033635133465931,0.10715979687229897
2017,2,1.5404789935980667,1.5815322822247333
2017,3,3.954650202819768,4.781894530058541
2017,4,3.7388665771298433,3.5686859976832204
2017,5,0.0,0.438442398011508
2017,6,4.276380631725603,3.4721487747797264
2018,0,2.2086249555208983,1.2658386912120922
2018,1,1.218203083511522,0.0
2018,2,0.0,1.3679753755442712
2018,3,2.0295739423453414,2.3695999621140134
2018,4,1.8617060818925608,1.9795233629445248
2018,5,0.0,0.0
2018,6,0.0,0.0
2019,0,8.778508104111733,9.2781654211855
2019,1,2.555050918718928,1.6878643097807022
2019,2,4.54946174520562,6.261527694352751
2019,3,0.0,0.0
2019,4,0.9653728718497984,0.95191438970682
2019,5,0.0,0.0
2019,6,1.3748573431839146,0.0
2020,0,2.69827911889615,0.11752817695037505
2020,1,0.0,1.4729169086947655
2020,2,0.0,0.36054372211983615
2020,3,0.0,0.0
2020,4,0.0,0.0
2020,5,0.0,0.1895889016394828
2020,6,3.1198394573694617,11.149880008343937
