연월,양파_true,양파_pred
2019_2,12304.001,13736.214
2019_3,12104.001,12624.533
2019_4,13463.001,12865.683
2019_5,17359.0,14709.931
2019_6,13152.001,19199.512
2019_7,9700.0,12416.4795
2019_8,8452.0,9512.797
2019_9,9990.0,9246.063
2019_10,10773.999,10837.431
2019_11,10410.0,11384.813
2019_12,12100.0,11397.118
2020_1,14970.001,14010.825
2020_2,18578.0,16756.22
2020_3,22008.0,19768.871
2020_4,23468.0,21874.27
2020_5,22900.0,21709.092
2020_6,20063.0,22153.744
2020_7,14022.001,20461.604
2020_8,16054.0,13163.336
2020_9,20492.0,17198.768
2020_10,23636.002,24186.781
2020_11,23749.0,21438.1
2020_12,25540.0,20724.156
