연월,깻잎_true,깻잎_pred
2019_2,22095.0,11703.122
2019_3,18788.0,12650.27
2019_4,15250.0,19216.75
2019_5,15332.0,15608.363
2019_6,17362.0,19860.783
2019_7,15011.0,18307.348
2019_8,14374.0,13742.391
2019_9,22819.0,18620.576
2019_10,32326.0,27323.074
2019_11,28124.0,21022.332
2019_12,21343.0,20608.604
2020_1,27350.0,18586.96
2020_2,35728.0,17090.193
2020_3,21763.0,32525.154
2020_4,19859.0,29575.412
2020_5,19205.0,18760.62
2020_6,19095.0,11164.652
2020_7,18214.998,7407.644
2020_8,20001.0,17800.443
2020_9,37550.0,20045.938
2020_10,35653.0,26363.877
2020_11,22075.0,20651.057
2020_12,18950.0,22164.887
