연월,수박_true,수박_pred
2019_2,22445.0,14132.674
2019_3,19659.0,17229.77
2019_4,16620.0,14616.794
2019_5,17145.0,12620.659
2019_6,18462.0,14011.7295
2019_7,15084.001,14720.989
2019_8,17700.0,15947.541
2019_9,17105.0,17159.5
2019_10,15021.0,15087.083
2019_11,16210.0,16426.188
2019_12,17924.0,16714.383
2020_1,19090.0,16406.037
2020_2,18870.0,16892.96
2020_3,19663.0,13282.981
2020_4,18845.0,15600.58
2020_5,17060.0,13602.198
2020_6,15788.999,13643.414
2020_7,16133.0,13486.168
2020_8,16756.0,14961.037
2020_9,20384.0,16519.035
2020_10,22145.0,17675.885
2020_11,9465.0,13271.848
2020_12,7647.0,7036.995
