연월,복숭아(백도)_true,복숭아(백도)_pred
2020_2,5286.4287,6971.1416
2020_3,8552.856,5526.161
2020_4,11819.285,7569.607
2020_5,15085.714,13446.675
2020_6,18352.143,14495.171
2020_7,21618.57,21451.17
2020_8,24885.0,24013.89
2020_9,22143.998,20939.912
2020_10,22409.2,21748.426
2020_11,22674.4,22920.443
2020_12,22939.6,22445.146
