연월,토마토_true,토마토_pred
2019_3,28729.0,28886.188
2019_4,32116.0,28488.17
2019_5,28618.0,34301.184
2019_6,19448.0,26305.357
2019_7,18005.0,16961.943
2019_8,17522.0,19296.006
2019_9,20457.0,24865.186
2019_10,26895.0,23227.938
2019_11,29448.0,29775.678
2019_12,33352.0,28002.4
2020_1,31580.0,31384.383
2020_2,32818.0,26605.125
2020_3,37190.0,28423.6
2020_4,43750.0,37290.332
2020_5,42140.0,42002.156
2020_6,23679.0,38344.766
2020_7,17539.0,12579.922
2020_8,23859.998,23592.95
2020_9,29638.0,35233.457
2020_10,50354.0,41013.312
2020_11,50018.0,59574.35
2020_12,35261.0,45156.836
