연월,사과(후지)_true,사과(후지)_pred
2019_12,34257.0,35069.59
2020_1,37530.0,35851.348
2020_2,38815.0,39836.39
2020_3,36335.0,40321.133
2020_4,37820.0,36412.906
2020_5,40420.0,38849.22
2020_6,55979.0,42356.09
2020_7,61462.004,58335.227
2020_8,68068.0,57736.523
2020_9,71972.0,67758.16
2020_10,65004.0,79331.11
2020_11,58035.996,51008.11
2020_12,52028.0,46174.723
