연월,무_true,무_pred
2018_11,14843.0,26905.387
2018_12,8918.0,20604.47
2019_1,8105.0,7586.9185
2019_2,7967.0,5485.555
2019_3,8304.0,10496.114
2019_4,7578.9995,10700.926
2019_5,8097.0,7336.903
2019_6,9051.0,8685.36
2019_7,9133.0,10367.789
2019_8,9276.0,8965.765
2019_9,9352.0,9327.816
2019_10,13163.0,10012.687
2019_11,20433.0,15296.911
2019_12,20524.0,15899.397
2020_1,25329.0,12825.798
2020_2,21805.0,28531.287
2020_3,11953.0,18800.137
2020_4,10345.0,8761.398
2020_5,10274.999,4189.4165
2020_6,9789.0,8782.54
2020_7,12253.0,11488.302
2020_8,13642.0,14739.425
2020_9,18451.0,12909.185
2020_10,25917.0,19207.557
2020_11,17093.0,16107.963
2020_12,11125.0,18174.48
