year,풋고추_true,풋고추_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,44001.249833333335,42473.9245,31905.732566666673,36159.08096666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,37162.416333333334,37331.16449999999,36306.31606666667,39285.348366666665,0,1,0.0,0.5,0.0,1954.1838666666736,0.0,977.0919333333368,0.0
2008,38795.08283333334,41910.84316666668,37072.182733333335,39824.23443333333,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,651.3946222222245,0.0
2009,43716.583000000006,41518.007666666665,37656.7827,39599.944350000005,0,0,0.0,0.25,0.0,0.0,0.0,488.5459666666684,0.0
2010,53447.3325,47639.762416666665,39639.34953333334,40433.718400000005,0,0,0.0,0.2,0.0,0.0,0.0,390.8367733333347,0.0
2011,42981.748499999994,46152.51016666667,43424.532900000006,42174.740450000005,1,0,0.16666666666666666,0.16666666666666666,442.7844000000114,0.0,73.7974000000019,325.69731111111224,12.299566666666983
2012,54562.582333333325,50508.80425000001,43220.632633333335,42910.457583333344,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,63.25491428571591,279.1691238095248,9.036416326530844
2013,47877.08266666666,46212.67091666668,46700.665833333325,45545.98553333334,0,0,0.125,0.125,0.0,0.0,55.34805000000142,244.2729833333342,6.918506250000178
2014,52983.416666666664,45514.8635,48517.0658,46406.351083333335,0,1,0.1111111111111111,0.2222222222222222,0.0,891.4875833333354,49.198266666667934,316.18571666666764,5.466474074074214
2015,48513.2495,47674.647,50370.432533333325,47205.72225,1,0,0.2,0.2,1857.1830333333273,0.0,229.99674333333388,284.5671450000009,45.999348666666776
2016,53520.08299999999,52274.142250000004,49383.615933333334,47212.69916666666,0,0,0.18181818181818182,0.18181818181818182,0.0,0.0,209.08794848484897,258.69740454545536,38.0159906336089
2017,50154.99933333334,55441.18441666666,51491.28283333334,48437.02558333332,1,0,0.25,0.16666666666666666,1336.2834999999977,0.0,303.0209111111114,237.13928750000073,75.75522777777785
2018,49407.91616666666,49885.63033333334,50609.76623333334,49423.50161666665,1,0,0.3076923076923077,0.15384615384615385,1201.8500666666805,0.0,372.1616153846167,218.89780384615455,114.51126627218976
2019,48640.4165,48654.889416666665,50915.932933333344,50158.09349999998,1,1,0.35714285714285715,0.21428571428571427,2275.516433333345,1503.2040833333158,508.115530952383,310.633966666666,181.46983248299392
2020,56603.25,58337.36591666666,50047.33290000001,50786.09868333331,0,0,0.3333333333333333,0.2,0.0,0.0,474.24116222222415,289.925035555555,158.08038740740804
