연월,풋고추_true,풋고추_pred
2019_3,61941.0,36882.938
2019_4,68650.0,63222.88
2019_5,39827.0,67447.4
2019_6,44000.0,44063.57
2019_7,39211.0,36185.91
2019_8,41304.0,46542.82
2019_9,58352.0,44921.61
2019_10,57442.004,66315.15
2019_11,50628.996,63506.133
2019_12,50343.0,52830.293
2020_1,34540.0,50010.473
2020_2,65250.0,46309.445
2020_3,84035.0,70272.07
2020_4,62178.004,83946.37
2020_5,47785.0,82052.12
2020_6,40602.0,44025.293
2020_7,42578.0,33852.086
2020_8,45886.0,46211.94
2020_9,51334.0,49614.164
2020_10,92749.0,53848.87
2020_11,63283.0,93022.23
2020_12,49018.996,46883.33
