연월,당근(무세척)_true,당근(무세척)_pred
2020_2,44570.0,50781.01
2020_3,35825.0,39064.477
2020_4,47075.004,24483.021
2020_5,59250.0,48019.117
2020_6,42926.0,51530.277
2020_7,36300.0,32926.277
2020_8,42408.0,41410.18
2020_9,45977.004,34658.42
2020_10,70528.0,40329.17
2020_11,66874.0,84639.625
2020_12,42214.0,46824.613
