연월,양배추_true,양배추_pred
2018_6,5565.0,5666.0933
2018_7,4751.0,5699.544
2018_8,7676.0005,4372.3613
2018_9,16239.0,12067.713
2018_10,10659.0,5750.5234
2018_11,9933.0,8646.763
2018_12,7564.0,7295.215
2019_1,6284.0,6620.083
2019_2,5598.0,6369.351
2019_3,4820.0,4733.2236
2019_4,4505.0,4817.8213
2019_5,4205.0,5145.571
2019_6,5559.0,4629.984
2019_7,5411.0,7203.6665
2019_8,5556.9995,6094.3657
2019_9,4656.9995,6320.333
2019_10,4200.0,5270.577
2019_11,6910.0005,4810.993
2019_12,9562.0,9336.379
2020_1,11335.0,8746.573
2020_2,12960.001,9684.033
2020_3,11840.0,10601.498
2020_4,10998.0,10701.701
2020_5,14700.0,8920.725
2020_6,9426.0,15115.745
2020_7,5166.0,5852.6157
2020_8,5384.9995,5136.4565
2020_9,9079.0,12505.021
2020_10,13033.0,9166.23
2020_11,17068.0,9239.379
2020_12,12744.0,9064.306
