연월,미나리_true,미나리_pred
2019_3,76871.0,70034.45
2019_4,71480.0,44532.16
2019_5,61444.996,38261.824
2019_6,52162.0,28966.719
2019_7,35894.996,21395.855
2019_8,31042.996,19752.35
2019_9,66162.0,36903.88
2019_10,84600.0,89509.59
2019_11,70171.0,67060.766
2019_12,75743.0,52343.9
2020_1,69260.0,68787.516
2020_2,71870.0,36341.418
2020_3,66061.0,50214.035
2020_4,65025.0,31147.521
2020_5,51000.0,40172.316
2020_6,47421.0,21464.473
2020_7,38599.996,34543.92
2020_8,36791.0,28665.125
2020_9,76888.0,48853.465
2020_10,96030.0,94374.01
2020_11,74923.0,65627.15
2020_12,92830.0,72558.35
