연월,배추_true,배추_pred
2018_5,8176.0,6498.1616
2018_6,6406.0,7178.126
2018_7,5728.0,5238.7734
2018_8,10402.0,6454.102
2018_9,18682.0,11539.925
2018_10,15165.0,10950.473
2018_11,8468.0,8196.507
2018_12,7468.0,9841.374
2019_1,6168.0,10056.82
2019_2,4848.0,9391.354
2019_3,4020.0,9158.092
2019_4,3734.9998,4697.534
2019_5,3413.9998,4470.0347
2019_6,3904.0,4135.908
2019_7,5746.0,5115.4033
2019_8,7365.0,7366.3315
2019_9,8771.0,8058.403
2019_10,14846.999,8236.44
2019_11,15600.0,11878.551
2019_12,9671.0,8969.197
2020_1,9890.0,8748.745
2020_2,10326.0,10818.714
2020_3,9798.0,12322.441
2020_4,9639.0,13412.714
2020_5,10860.0,8427.935
2020_6,11711.0,9555.271
2020_7,9269.0,9308.633
2020_8,11623.0,6961.56
2020_9,19707.0,11320.263
2020_10,25957.0,14736.461
2020_11,12304.0,12837.498
2020_12,6559.9995,10722.1875
